quantity;artist;album;genre;preis;monat;
1;Gonna Get Yours;A Thousand Faces ;Punk;CHF 15;Okt 18;
1;Kronstadt;Kronstadt;Punk;CHF 15;Okt 18;
1;La Inquisicion;LXV;Punk;CHF 15;Okt 18;
1;Skeletal Remains;Beyond The Flesh;Death Metal;CHF 45;Dez 18;
1;Skeletal Remains;Condemned To Misery;Death Metal;CHF 30;Dez 18;
1;Rude;Remnants …;Death Metal;CHF 20;Dez 18;
1;Insurgency;No Worlds … Nor Gods Beyond;Death Metal;CHF 20;Dez 18;
1;Skinless;Savagery;Death Metal;CHF 35;Dez 18;
1;Skeletal Remains;Devouring Mortality;Death Metal;CHF 45;Jan 19;
1;Corpsessed;Impetus of Death;Death Metal;CHF 25;Jan 19;
1;Blood Incantation;Starspawn;Death Metal;CHF 50;Feb 19;
1;Necrot;Blood Offerings;Death Metal;CHF 50;Feb 19;
1;Mortuous;Through Wilderness ;Death Metal;CHF 20;Feb 19;
1;Tomb Mold;Primordial Malignity;Death Metal;CHF 35;Mär 19;
1;Gruesome;Twisted Prayers;Death Metal;CHF 60;Mär 19;
1;Have Heart;Things We Carry;Hardcore;CHF 45;Mär 19;
1;Extremity;Coffin Birth;Death Metal;CHF 20;Mär 19;
0;Carnation;Chapel Of Abhorrence ;Death Metal;CHF 25;Mär 19;7
0;Deserted Fear;Drowned By Humanity;Death Metal;CHF 25;Mär 19;
1;Climate Of Fear;The Onset Of Eternal Darkness;Hardcore;CHF 20;Apr 19;
1;Imprecation;Damnatio Ad Bestias;Death Metal;CHF 25;Apr 19;
1;Deathgrave;So Real, It's Now;Death Metal;CHF 20;Mai 19;
0;Ghastly;Death Velour;Death Metal;CHF 35;Mai 19;
1;Fetid;Steeping Corporeal Mess;Death Metal;CHF 20;Jun 19;
1;Magnitude;To Whatever Fateful End;Hardcore;CHF 45;Jun 19;
1;Tomb Mold;Manor of Infinite Forms;Death Metal;CHF 45;Jun 19;
1;Cannibal Corpse;Torture;Death Metal;CHF 95;Jul 19;
1;Petrification;Hollow of The Void;Death Metal;CHF 25;Jul 19;
1;Cannibal Corpse;Red Before Black;Death Metal;CHF 35;Jul 19;
1;Tomb Mold;Planetary Clairvoyance;Death Metal;CHF 20;Jul 19;
1;Abuse of Power;What On Earth Can We Do;Hardcore;CHF 20;Aug 19;
1;Buried Dreams;9 Reasons Not To Live;Hardcore;CHF 20;Aug 19;
